Id,Hora de inicio,Hora de finalización,Correo electrónico,Nombre,Edad,¿En que tipo de trabajo estas involucrado/a?,¿Eres padre/madre?,"Si contestaste que si a la pregunta anterior, eres padre/madre soltero/a",¿Cuantas veces a la semana tienes tiempo suficiente para cocinar en casa,¿Por que no cocinas con frecuencia?,"¿Que tan seguido compras comida rápida o procesada (refrescos, dulces, snack, etc.) en tiendas de abarrotes?","Cuando compra snacks o alimentos para consumo inmediato, ¿qué suele priorizar?
","¿En qué situaciones la comida rápida se siente como la única opción viable para ti
","Qué tan de acuerdo está con la siguiente frase? 'Para mí es más importante saciar el hambre rápido y barato que buscar la opción más nutritiva'.
",Cuando piensas en preparar una comida saludable en casa ¿Que es lo primero que te desmotiva?,¿Estarias dispuesto/a a cambiar tus hábitos alimenticios si tuvieras mas tiempo o recursos?,¿Que soluciones crees que podrían ayudar a mejorar los hábitos alimenticios de tu familia?,"¿Estarías interesado/a en recibir ayuda o recursos sobre cómo mejorar la alimentación en tu hogar?
", ¿Por qué no cocinas con frecuencia?,"¿Qué tan seguido compras comida rápida o procesada (refrescos, dulces, snacks, etc.) en tiendas de abarrotes?  ",¿A menudo le das dinero a tus hijos/as para que compren comida en tiendas de abarrotes?,"Si le das dinero a tus hijos/as, ¿Que tipo de alimentos suelen comprar?",¿Qué tan preocupado/a estás por el impacto de una dieta poco saludable en tus hijos/as?  ,Haz notado algún cambio en la salud de tus hijos/as debido a una mala alimentación,¿Estarias dispuesto/a a cambiar tus hábitos alimenticios si tuvieras mas tiempo o recursos?1,¿Que soluciones crees que podrían ayudar a mejorar los hábitos alimenticios de tu familia?1,¿Estarias interesado/a en recibir ayuda o recursos sobre  como mejorar la alimentación en tu hogar?,"En su hogar, ¿quién es principalmente la persona que decide y prepara la comida para sus hijos?","Siendo padre/madre soltero, ¿con qué frecuencia siente que el tiempo disponible limita su capacidad para preparar comidas caseras?",¿cree que su condición de padre/madre soltero influye en...? ....la frecuencia con la que sus hijos consumen comida rápida?,¿cree que su condición de padre/madre soltero influye en...? ....el presupuesto semanal destinado a la alimentación?,¿cree que su condición de padre/madre soltero influye en...? ....la variedad de alimentos saludables en su dieta familiar?,¿Cuáles son los factores principales que hacen más difícil mantener una alimentación equilibrada en su situación?,"¿Qué tipo de apoyo o soluciones cree que serían mas útiles para mejorar la alimentación en su hogar?
","¿Estarías interesado/a en recibir ayuda o recursos sobre cómo mejorar la alimentación en tu hogar?

"
1,12/14/2025 19:37,12/14/2025 19:38,anonymous,,Menor de 18 años ,escuela,No,,3-4 veces,Prefiero comprar comida ya preparada;,Una vez a la semana ,Conveniencia y rapidez;La marca y sabor;,Después de trabajar tarde;Fines de semana;,Muy de acuerdo,La planificacion,Si,Menos horas de trabajo;,Si,,,,,,,,,,,,,,,,,
2,12/14/2025 19:37,12/14/2025 19:38,anonymous,,18-30,Estudiante,No,,1-2 veces,No tengo tiempo debido al trabajo ;No me gusta cocinar;Prefiero comprar comida ya preparada;,2-3 veces a la semana,Precio bajo;La marca y sabor;,Después de trabajar tarde;Fines de semana;,Neutral,Comprar los ingredientes,Si,Mayor acceso a alimentos saludables y económicos ;,No,,,,,,,,,,,,,,,,,
3,12/14/2025 19:44,12/14/2025 19:45,anónimo,,31-40,Abogado,Si,No,,,,,,,,,,,No me gusta cocinar ;Prefiero comprar comida ya preparada,Diario,Si,Galletas y dulces ;Bebidas azucaradas,Algo preocupado,No,Si,Mayor acceso a alimentos saludables y económicos ,Si,,,,,,,,
4,12/14/2025 19:43,12/14/2025 19:46,anónimo,,18-30,Ninguno,No,,1-2 veces,No tengo tiempo debido a la universidad.,Una vez al mes,La marca y sabor;Mis preferencias en gustos,Fines de semana;Después de trabajar tarde,Neutral,El precio de los ingredientes,Si,Mayor acceso a alimentos saludables y económicos ,Tal vez,,,,,,,,,,,,,,,,,
5,12/14/2025 20:12,12/14/2025 20:15,anónimo,,18-30,Estudiante ,No,,1-2 veces,No tengo tiempo debido al trabajo ,2-3 veces a la semana,Precio bajo;La marca y sabor,Reuniones con familiares/amigos,De acuerdo,Comprar los ingredientes,Si,Mayor acceso a alimentos saludables y económicos ;Menos horas de trabajo,Tal vez,,,,,,,,,,,,,,,,,
6,12/14/2025 20:17,12/14/2025 20:22,anónimo,,18-30,Educación ,No,,1-2 veces,No tengo tiempo debido al trabajo ,2-3 veces a la semana,La marca y sabor;Conveniencia y rapidez;Precio bajo,Después de trabajar tarde;Fines de semana;Reuniones con familiares/amigos,De acuerdo,Comprar los ingredientes,Si,Menos horas de trabajo,Si,,,,,,,,,,,,,,,,,
7,12/14/2025 20:19,12/14/2025 20:24,anónimo,,31-40,Tecnologías de información ,Si,No,,,,,,,,,,,No tengo tiempo debido al trabajo,2-3 veces a la semana ,No,Bebidas azucaradas,Algo preocupado,"Si, problemas de peso",Si,Mayor acceso a alimentos saludables y económicos ,Si,,,,,,,,
8,12/14/2025 20:22,12/14/2025 20:25,anónimo,,18-30,De entretenimiento ,No,,3-4 veces,No tengo tiempo debido al trabajo ,Diario,La marca y sabor,Después de trabajar tarde;Reuniones con familiares/amigos,Neutral,Comprar los ingredientes,Si,Mayor acceso a alimentos saludables y económicos ;Programas de educación sobre nutricion,Tal vez,,,,,,,,,,,,,,,,,
9,12/14/2025 20:32,12/14/2025 20:34,anónimo,,18-30,Estudiante ,No,,3-4 veces,No me gusta cocinar,2-3 veces a la semana,Conveniencia y rapidez,Reuniones con familiares/amigos,En desacuerdo,Comprar los ingredientes,Si,Menos horas de trabajo,Si,,,,,,,,,,,,,,,,,
10,12/14/2025 20:37,12/14/2025 20:39,anónimo,,18-30,Ninguno,No,,Nunca,No puedo estudio,Una vez al mes,La marca y sabor,Después de trabajar tarde,Neutral,Comprar los ingredientes,Si,Programas de educación sobre nutricion,Tal vez,,,,,,,,,,,,,,,,,
11,12/14/2025 20:40,12/14/2025 20:44,anónimo,,18-30,Estudiante,No,,1-2 veces,No me gusta cocinar,Una vez a la semana ,Precio bajo;Conveniencia y rapidez,Cuando tengo poco dinero,Neutral,Comprar los ingredientes,Si,Programas de educación sobre nutricion,No,,,,,,,,,,,,,,,,,
12,12/14/2025 20:50,12/14/2025 20:52,anónimo,,18-30,Estudiante,No,,Mas de 5 veces,Prefiero comprar comida ya preparada,Una vez a la semana ,Precio bajo;La marca y sabor,Después de trabajar tarde,De acuerdo,El precio de los ingredientes,Si,Mayor acceso a alimentos saludables y económicos ,Tal vez,,,,,,,,,,,,,,,,,
13,12/14/2025 20:48,12/14/2025 20:54,anónimo,,18-30,Estudiante,No,,Mas de 5 veces,No se cocinar,2-3 veces a la semana,Conveniencia y rapidez;La marca y sabor,Fines de semana;Reuniones con familiares/amigos;Después de trabajar tarde;Mientras estoy en la uni,Neutral,La planificacion,Si,Mayor acceso a alimentos saludables y económicos ;Programas de educación sobre nutricion,Si,,,,,,,,,,,,,,,,,
14,12/14/2025 20:54,12/14/2025 20:56,anónimo,,Menor de 18 años ,Ninguno,No,,1-2 veces,No me gusta cocinar;Prefiero comprar comida ya preparada,2-3 veces a la semana,La marca y sabor,Reuniones con familiares/amigos;Fines de semana,Muy en desacuerdo,Comprar los ingredientes,Tal vez,Programas de educación sobre nutricion,Tal vez,,,,,,,,,,,,,,,,,
15,12/14/2025 20:55,12/14/2025 20:57,anónimo,,18-30,Ninguno ,No,,1-2 veces,No me gusta cocinar,Una vez a la semana ,Precio bajo;La marca y sabor,Después de trabajar tarde,En desacuerdo,La planificacion,Si,Menos horas de trabajo;Mayor acceso a alimentos saludables y económicos ;Programas de educación sobre nutricion,Si,,,,,,,,,,,,,,,,,
16,12/14/2025 20:59,12/14/2025 21:01,anónimo,,18-30,Estudiante ,No,,1-2 veces,No me gusta cocinar,2-3 veces a la semana,Conveniencia y rapidez,Reuniones con familiares/amigos,En desacuerdo,La planificacion,Si,Menos horas de trabajo,No,,,,,,,,,,,,,,,,,
17,12/14/2025 21:01,12/14/2025 21:03,anónimo,,18-30,Estudiante,No,,3-4 veces,No tengo tiempo debido al trabajo ,Una vez a la semana ,Conveniencia y rapidez,Fines de semana,Neutral,La planificacion,Si,Mayor acceso a alimentos saludables y económicos ,Tal vez,,,,,,,,,,,,,,,,,
18,12/14/2025 21:03,12/14/2025 21:04,anónimo,,18-30,Ninguno ,No,,Nunca,No me gusta cocinar;Prefiero comprar comida ya preparada,Diario,Conveniencia y rapidez;La marca y sabor,Después de trabajar tarde;Fines de semana;Reuniones con familiares/amigos,Muy de acuerdo,Comprar los ingredientes,Tal vez,Mayor acceso a alimentos saludables y económicos ,Tal vez,,,,,,,,,,,,,,,,,
19,12/14/2025 21:04,12/14/2025 21:11,anónimo,,Menor de 18 años ,estudiante,No,,Mas de 5 veces,si cocino,Una vez a la semana ,Precio bajo;Conveniencia y rapidez,Reuniones con familiares/amigos,Neutral,La planificacion,Si,Mayor acceso a alimentos saludables y económicos ;Programas de educación sobre nutricion,Si,,,,,,,,,,,,,,,,,
21,12/14/2025 21:26,12/14/2025 21:27,anónimo,,18-30,Oficina,No,,Mas de 5 veces,No tengo tiempo debido al trabajo ,2-3 veces a la semana,Precio bajo;Conveniencia y rapidez,Después de trabajar tarde;Fines de semana;Reuniones con familiares/amigos,En desacuerdo,Comprar los ingredientes,Si,Menos horas de trabajo;Mayor acceso a alimentos saludables y económicos ,Si,,,,,,,,,,,,,,,,,
22,12/14/2025 21:59,12/14/2025 22:08,anónimo,,Mayor a 50 años,En la educación (Docente) ,Si,No,,,,,,,,,,,No tengo tiempo debido al trabajo,Una vez al mes,No,Comida saludable,Algo preocupado,No,Si,Hacer ejercicio y consumir alimentos nutritivos. ,Si,,,,,,,,
23,12/14/2025 22:08,12/14/2025 22:09,anónimo,,18-30,Estudiante,No,,Mas de 5 veces,No tengo tiempo debido al trabajo ,2-3 veces a la semana,Precio bajo;La marca y sabor,Después de trabajar tarde;Reuniones con familiares/amigos,Neutral,El precio de los ingredientes,Si,Mayor acceso a alimentos saludables y económicos ,Si,,,,,,,,,,,,,,,,,
24,12/14/2025 22:15,12/14/2025 22:20,anónimo,,Mayor a 50 años,Ama de Casa,Si,No,,,,,,,,,,,Si me gusta cocinar,Una vez al mes,No,Fruta ,Muy preocupado ,"Si, otros problemas de salud",Si,Programas de educación sobre nutrición ,Si,,,,,,,,
25,12/14/2025 22:28,12/14/2025 22:31,anónimo,,18-30,Estudiante ,No,,1-2 veces,El horario de clases no me lo permite ,Una vez a la semana ,La marca y sabor;Que sea saludable;Precio bajo;Conveniencia y rapidez,Reuniones con familiares/amigos,En desacuerdo,La planificacion,Si,Programas de educación sobre nutricion;Mayor acceso a alimentos saludables y económicos ,Tal vez,,,,,,,,,,,,,,,,,
26,12/14/2025 22:34,12/14/2025 22:39,anónimo,,41-50,Educación ,Si,No,,,,,,,,,,,No tengo tiempo debido al trabajo,2-3 veces a la semana ,No,Chips y botanas,Muy preocupado ,"Si, problemas de peso",Si,Organizar ti,Tal vez,,,,,,,,
27,12/14/2025 22:41,12/14/2025 22:43,anónimo,,18-30,Estudio,No,,1-2 veces,No me gusta cocinar,Una vez a la semana ,Conveniencia y rapidez,Fines de semana,Neutral,La planificacion,Si,Programas de educación sobre nutricion,Si,,,,,,,,,,,,,,,,,
28,12/14/2025 22:43,12/14/2025 22:44,anónimo,,18-30,Distribución ,No,,1-2 veces,No tengo tiempo debido al trabajo ;No me gusta cocinar,Una vez a la semana ,Conveniencia y rapidez,Después de trabajar tarde,De acuerdo,Tiempo ,Si,Mayor acceso a alimentos saludables y económicos ,Tal vez,,,,,,,,,,,,,,,,,
30,12/14/2025 22:54,12/14/2025 22:57,anónimo,,Mayor a 50 años,Corporativo,Si,No,,,,,,,,,,,Tengo quien me cocine en casa,Una vez a la semana,No,Productos sanos,Muy preocupado ,No,Si,Mayor acceso a alimentos saludables y económicos ,Si,,,,,,,,
31,12/14/2025 22:55,12/14/2025 23:00,anónimo,,18-30,Ninguno ,No,,Mas de 5 veces,Si cocino ,Una vez a la semana ,Que sea saludable,Después de trabajar tarde,Muy en desacuerdo,Ninguna ,Si,Menos horas de trabajo,Si,,,,,,,,,,,,,,,,,
32,12/14/2025 23:08,12/14/2025 23:10,anónimo,,18-30,Relaciones publicas,No,,1-2 veces,No tengo tiempo debido al trabajo ,2-3 veces a la semana,Conveniencia y rapidez,Fines de semana,Neutral,Comprar los ingredientes,Si,Menos horas de trabajo,Tal vez,,,,,,,,,,,,,,,,,
33,12/14/2025 23:08,12/14/2025 23:10,anónimo,,Mayor a 50 años,Oficina ,Si,Si,,,,,,,,,,,,,,,,,,,,Mis hijos tienen edad suficiente para prepararse su propia comida.,Ocasionalmente,No influye,No influye,No influye,Cansancio o estrés,Menos horas de trabajo,Tal vez
34,12/14/2025 23:09,12/14/2025 23:11,anónimo,,Mayor a 50 años,ventas,Si,Si,,,,,,,,,,,,,,,,,,,,"Mayormente yo, con ayuda de familares",Muy frecuentemente,"Si, mucho","Si, mucho","Si, algo",Presupuesto ;Cansancio o estrés,Mayor acceso comidas saludables y económicas.,Si
35,12/14/2025 23:09,12/14/2025 23:11,anónimo,,41-50,Administrativo,Si,No,,,,,,,,,,,No tengo tiempo debido al trabajo,2-3 veces a la semana ,No,Comida variada ,Muy preocupado ,"Si, problemas de peso",Si,Mayor acceso a alimentos saludables y económicos ,Si,,,,,,,,
36,12/14/2025 23:24,12/14/2025 23:26,anónimo,,18-30,No trabajo,No,,1-2 veces,Prefiero comprar comida ya preparada,2-3 veces a la semana,La marca y sabor,Después de trabajar tarde;Reuniones con familiares/amigos,En desacuerdo,La planificacion,Si,Mayor acceso a alimentos saludables y económicos ,Si,,,,,,,,,,,,,,,,,
37,12/14/2025 23:31,12/14/2025 23:33,anónimo,,31-40,Artista ,No,,1-2 veces,No me gusta cocinar,Una vez al mes,Que sea saludable,Viajes,Muy en desacuerdo,Me da flojera comer,No,Tener dinero para una cocinera,No,,,,,,,,,,,,,,,,,
38,12/14/2025 23:40,12/14/2025 23:43,anónimo,,Mayor a 50 años,Fabricación de muebles ,No,,3-4 veces,Sí cocinó con frecuencia ,Una vez al mes,Conveniencia y rapidez,Reuniones con familiares/amigos,En desacuerdo,Tiempo,No,Tengo buenos hábitos alimenticios ,No,,,,,,,,,,,,,,,,,
39,12/14/2025 23:55,12/14/2025 23:57,anónimo,,18-30,Trato a cliente ,No,,Mas de 5 veces,Prefiero comprar comida ya preparada,Una vez a la semana ,Precio bajo,Fines de semana,Neutral,El precio de los ingredientes,Si,Programas de educación sobre nutricion;Mayor acceso a alimentos saludables y económicos ,Tal vez,,,,,,,,,,,,,,,,,
40,12/15/2025 1:05,12/15/2025 1:07,anónimo,,18-30,Ventas,No,,3-4 veces,Prefiero comprar comida ya preparada,2-3 veces a la semana,La marca y sabor,Después de trabajar tarde,En desacuerdo,Comprar los ingredientes,Si,Programas de educación sobre nutricion,Si,,,,,,,,,,,,,,,,,
41,12/15/2025 1:36,12/15/2025 1:41,anónimo,,Mayor a 50 años,Agricultura ,Si,Si,,,,,,,,,,,,,,,,,,,,Mi asistente en casa ,Ocasionalmente,No influye,No influye,No influye,Falta de tiempo por el trabajo,Mayor acceso comidas saludables y económicas.,Si
42,12/15/2025 6:00,12/15/2025 6:02,anónimo,,18-30,Soy estudiante de arquitectura y maestra de inglés,No,,Mas de 5 veces,No tengo tiempo debido al trabajo ,Una vez a la semana ,La marca y sabor,Después de trabajar tarde,Neutral,El tiempo que toma de mi día,Si,Menos horas de trabajo;Mayor acceso a alimentos saludables y económicos ,Si,,,,,,,,,,,,,,,,,
43,12/15/2025 6:46,12/15/2025 7:03,anónimo,,41-50,Limpieza ,Si,No,,,,,,,,,,,Yo cosí no la mayoría de el tiempo en casa,Una vez a la semana,No,Chips y botanas,No preocupado,No,No,Mayor acceso a alimentos saludables y económicos ,No,,,,,,,,
44,12/15/2025 7:04,12/15/2025 7:06,anónimo,,31-40,auditorias,Si,No,,,,,,,,,,,si cocino,Una vez a la semana,No,Chips y botanas,Muy preocupado ,No,Si,Mayor acceso a alimentos saludables y económicos ,Si,,,,,,,,
45,12/15/2025 7:30,12/15/2025 7:32,anónimo,,31-40,Marketing,Si,No,,,,,,,,,,,Si cocino,Una vez a la semana,No,No ,Muy preocupado ,No,No,Mayor acceso a alimentos saludables y económicos ,Si,,,,,,,,
46,12/15/2025 7:38,12/15/2025 7:41,anónimo,,18-30,Estudio,No,,Mas de 5 veces,Si cocino,Una vez a la semana ,Que sea saludable,Después de trabajar tarde,Muy en desacuerdo,Nada,Si,Menos horas de trabajo,Tal vez,,,,,,,,,,,,,,,,,
47,12/15/2025 8:06,12/15/2025 8:11,anónimo,,41-50,Escuela,No,,3-4 veces,No tengo tiempo debido al trabajo ,2-3 veces a la semana,Que sea saludable,Fines de semana,En desacuerdo,La planificacion,Si,Mayor acceso a alimentos saludables y económicos ,Si,,,,,,,,,,,,,,,,,
48,12/15/2025 8:11,12/15/2025 8:13,anónimo,,18-30,Docencia ,Si,No,,,,,,,,,,,Cocino todos los días ,2-3 veces a la semana ,No,Ninguno ,Muy preocupado ,No,Si,Menos horas de trabajo,Si,,,,,,,,
49,12/15/2025 8:14,12/15/2025 8:16,anónimo,,18-30,Atención a cliente,No,,3-4 veces,No tengo tiempo debido al trabajo ,Una vez a la semana ,Precio bajo;Conveniencia y rapidez;La marca y sabor,Fines de semana;Reuniones con familiares/amigos,Muy en desacuerdo,El precio de los ingredientes,Si,Mayor acceso a alimentos saludables y económicos ,Tal vez,,,,,,,,,,,,,,,,,
50,12/15/2025 8:14,12/15/2025 8:16,anónimo,,31-40,Ama de casa,Si,No,,,,,,,,,,,Si cocino,Una vez a la semana,No,Chips y botanas,Algo preocupado,No,Si,Programas de educación sobre nutrición ,Si,,,,,,,,
51,12/15/2025 8:17,12/15/2025 8:19,anónimo,,31-40,Oficina ,Si,No,,,,,,,,,,,No tengo tiempo debido al trabajo,Una vez al mes,No,Bebidas azucaradas,Muy preocupado ,"Si, problemas digestivos",Si,Mayor acceso a alimentos saludables y económicos ,Si,,,,,,,,
52,12/15/2025 8:51,12/15/2025 8:56,anónimo,,Mayor a 50 años,Taller de pintura,Si,No,,,,,,,,,,,No me gusta cocinar ,Una vez a la semana,No,Son económicamente independientes ,Algo preocupado,"Si, problemas de peso",Si,Constancia en horarios de comidas ,Si,,,,,,,,
53,12/15/2025 9:08,12/15/2025 9:09,anónimo,,31-40,Industria ,No,,3-4 veces,Si cocino ,Diario,Que sea saludable,Fines de semana,Muy en desacuerdo,La planificacion,Si,Mayor acceso a alimentos saludables y económicos ;Programas de educación sobre nutricion,Tal vez,,,,,,,,,,,,,,,,,
54,12/15/2025 9:11,12/15/2025 9:13,anónimo,,Mayor a 50 años,Industrial,Si,No,,,,,,,,,,,No tengo tiempo debido al trabajo,Una vez al mes,No,Chips y botanas,Muy preocupado ,"Si, problemas de peso",Si,Mayor acceso a alimentos saludables y económicos ,Si,,,,,,,,
55,12/15/2025 9:16,12/15/2025 9:17,anónimo,,Mayor a 50 años,Inmobiliaria ,Si,Si,,,,,,,,,,,,,,,,,,,,"Mayormente yo, con ayuda de familares",Frecuentemente,"Si, algo","Si, algo","Si, algo",Falta de tiempo por el trabajo,Mayor acceso comidas saludables y económicas.,Si
56,12/15/2025 9:16,12/15/2025 9:20,anónimo,,Mayor a 50 años,Comercio ,Si,No,,,,,,,,,,,No me gusta cocinar ,Una vez a la semana,No,Galletas y dulces ,Algo preocupado,"Si, problemas de peso",Si,Programas de educación sobre nutrición ,Si,,,,,,,,
57,12/15/2025 9:22,12/15/2025 9:25,anónimo,,Mayor a 50 años,Oficina,Si,No,,,,,,,,,,,Cocinar en casa,Una vez al mes,No,Chips y botanas,Muy preocupado ,"Si, problemas de peso",Si,Programas de educación sobre nutrición ,No,,,,,,,,
58,12/15/2025 9:28,12/15/2025 9:30,anónimo,,18-30,Servicio al cliente ,No,,3-4 veces,No tengo tiempo debido al trabajo ,Una vez a la semana ,Precio bajo,Fines de semana,Neutral,El precio de los ingredientes,Si,Mayor acceso a alimentos saludables y económicos ;Programas de educación sobre nutricion,Si,,,,,,,,,,,,,,,,,
59,12/15/2025 9:29,12/15/2025 9:34,anónimo,,18-30,Atención a cliente,No,,3-4 veces,No tengo tiempo debido al trabajo ,Una vez a la semana ,Precio bajo,Después de trabajar tarde,De acuerdo,Comprar los ingredientes,Tal vez,Programas de educación sobre nutricion,Si,,,,,,,,,,,,,,,,,
60,12/15/2025 9:36,12/15/2025 9:39,anónimo,,Mayor a 50 años,Construcción y diseño,Si,No,,,,,,,,,,,No tengo tiempo debido al trabajo,2-3 veces a la semana ,No,Ninguna,Algo preocupado,"Si, otros problemas de salud",Si,Programas de educación sobre nutrición ,Si,,,,,,,,
61,12/15/2025 9:37,12/15/2025 9:39,anónimo,,Mayor a 50 años,Servicio ,Si,No,,,,,,,,,,,Cocino y congelo 1 día semanal ,Una vez al mes,No,Galletas y dulces ,Muy preocupado ,No,Si,Programas de educación sobre nutrición ,Si,,,,,,,,
62,12/15/2025 9:41,12/15/2025 9:44,anónimo,,Mayor a 50 años,Restaurante ,Si,No,,,,,,,,,,,No me gusta cocinar ,Una vez al mes,No,Galletas y dulces ,Algo preocupado,"Si, problemas de peso",Tal vez,Programas de educación sobre nutrición ,Si,,,,,,,,
